SampleID,BAI_GR,BIO_GR,Height.DBH.Ratio,Estem,Branching.Distance,Twig.Diameter,Twig.Wood.Density,Stem.Wood.Density,Leaf.Mass.Fraction,Leaf.Area,LMA,LCC,LNC,LPC,d15N,t.b2,Ks,Ktwig,Huber.Value,X.Lum,VD,X.Sapwood,d13C,Root.Wood.Density,Twig.branching.angle,Hmax,Shade.Tolerance,Drought.Tolerance,WaterLogging.Tolerance,Soil.Fertility,Light,Temperature,pH,Slope
J10ACSA19,0.08375590399999985,0.04244480724206482,120,2807.718523,16.75,5.44,0.65688549,0.790030342,0.855202852,43.4278125,36.25268945,48.4995,1.9037,8.339464929,-6.12108284,0.02703713,24.65822365,432.6666406,0.011892643,0.05427032,7375.444935,0.893638219,-30.81102547,0.551916273,60.024,35,4.76,2.88,3.37,-0.27543446434380114,-0.6701059836758183,0.00687349290633551,0.8749036656583995,-1.516649185979905
J10AMSP12,0.9221187839999999,0.12492177547449991,98.29268293,2012.670184,8,4.395,0.627606019,0.890039063,1.000701754,13.62967213,46.22268195,47.4691,2.5345,11.5421537,-4.736634789,0.022220681,43.61019192,829.0944199,0.006731149,0.139655677,5447.321348,0.968246876,-30.72773155,0.7500283818,57.9317,12,3.9,2.58,1.358,0.3729544307449097,-0.9402634238298945,0.2978470238978567,0.4440112654235815,-0.30062808556467
J10AMSP13,0.8415976019999999,0.23227244178739875,160.6666667,7055.698284,11.36842105,5.4,0.664115021,0.877210884,0.639723397,18.2326,48.86851025,49.7283,2.3349,11.39280294,-5.209167347,0.021245374,34.65170741,648.6934427,0.009274847,0.133012624,5034.952443,0.953421583,-29.76456268,0.7261093404,52.71115,12,3.164,2.152,1.564,0.3735101076870095,-0.941126182628876,0.1526370118615287,-0.055764315383192514,-0.687462417283955
J10FAG15,0.9364950639999998,0.22045078133614396,141.4285714,3871.404188,9.777777778,3.725,0.6042533,0.751053985,1.542718017,51.985625,34.37248278,47.9494,2.2764,10.15500101,-3.182163343,0.017264659,41.18362907,767.8101785,0.007214765,0.117633998,5979.837344,0.949509603,-31.70953758,0.6723269226,71.62496667,25,4.75,1.5,1.5,0.23736282942049847,-0.8711397546245483,0.16757435792700276,-0.1168313359541184,-0.7294798471936554
J10FRA19,0.407720136,0.06532133293264034,113.9473684,3121.343102,56,8.935,0.548121494,0.767821896,1.188934911,354.2825,44.15614658,46.4648,2.5594,12.08830481,-7.863464432,0.023639949,337.2024607,1420.26745,0.087239036,0.145877468,19565.18203,0.214510971,-30.60815605,0.6344798772,32.5759,30,2.46,2.38,2.59,-0.2025476995259252,-0.9273166513492828,-0.28925358081790015,-0.3326554743029305,0.02191565737805485
J10OSV19,0.24734756399999996,0.2439687977570475,193.3333333,4496.479369,8.285714286,3.76,0.583013475,0.799593599,1.53810132,19.58761905,36.05290028,47.7029,2.1661,8.470409468,-3.072073536,0.019431526,45.66849898,874.9587068,0.00656972,0.079187845,7042.175693,0.975755324,-31.26575073,0.7373030522,69.08508,12,4.58,3.25,1.07,-0.5046586432590462,-0.3472096883801848,0.17195682796075865,0.5892821262189147,-1.2204426524813128
J10PRS11,0.7120563580000002,0.13168531929643187,98.38709677,1384.758439,11.30769231,5.43,0.594546403,0.744162437,1.256316368,22.74170213,50.80178882,47.37505978,2.9356,10.6626721,-5.925865555,0.025899947,45.11235151,863.5253954,0.009012597,0.141704956,4933.1,0.974876852,-29.18777306,0.566377342,49.44392857,22,2.46,3.02,1.06,0.3529729776114482,-0.7816104657543967,0.262510386659838,-0.42949873352318374,-0.6640263110683643
J11ACP9,0.11625665600000001,0.06932762453826569,131.3043478,1889.930674,36.33333333,5.405,0.449612413,0.562627737,0.546213094,128.66125,24.80350533,42.48747492,2.3974,15.71030643,-4.48467865,0.022067598,34.23878229,484.7949762,0.009598398,0.084206055,6522.291232,0.721123934,-30.68918068,0.605073256,50.0092,10,3.56,2,1,-0.26958877089089683,-0.7740382725304208,1.0476490920576202,1.1254921822876796,-0.4379610621232048
J11ACSA21,0.15807163799999996,0.2187450415490636,233.5714286,6266.42515,16.6,6.13,0.526801367,0.77726175,1.389357177,49.942,47.79544271,46.9333,2.0129,8.380792936,-3.306827364,0.031818239,40.65469806,574.3777471,0.0128926,0.091130202,6494.73508,0.71954337,-30.3231028,0.6099081186,41.72865,35,4.76,2.88,3.37,0.4865208495489515,-1.310726425353607,0.9487153941199231,0.13010898694799655,-0.6603573776802807
J11AMSP14,0.464706466,0.5441237587589205,267.3684211,6619.639397,14.91666667,4.65,0.612545734,0.875979381,0.764617691,15.79137931,51.07544492,46.6836,2.2905,12.66682909,-2.711044369,0.007944172,63.9744543,1187.480358,0.005292145,0.152049183,8093.523167,0.94534418,-30.3898085,0.6587983954,51.79415,12,1.938,2.144,1.408,0.14996372177441186,-1.2756748356704632,0.7863866569075401,0.8980230149662701,-0.39353526211954154
J11AMSP15,0.8896294539999999,0.2601368595508874,165.8181818,6311.339074,12.16666667,6.135,0.602835203,0.884084507,1.122499911,19.60943396,40.63311845,48.801,2.4395,13.04847975,-3.830754623,0.006342093,94.90216515,1779.576213,0.008168922,0.182940362,9138.544043,0.955015854,-30.67580421,0.7251185416,38.153,12,3.394,2.636,1.214,0.28677734314995446,-1.0253306272401,1.3327739995641579,-0.2891721471781771,0.18942899287382534
J11BEA6,0.37404819199999995,0.3850957828058132,210.9677419,4774.756829,9.857142857,4.31,0.538033594,0.642622951,1.494386694,19.9,33.76884422,46.8291,2.0502,10.98919808,-2.12705718,0.019565983,86.73651596,1689.660289,0.003021396,0.101019942,13396.73355,0.992127606,-30.66197403,0.620095343,64.6842,25,3.17,3,2,-0.05765645191885724,-1.3157670357141045,0.8023388028191405,0.6554856214818146,0.30747320621906343
J11BEA7,0.8109298620000001,1.1292326864290887,214.8571429,4962.812215,40,4.43,0.527018823,0.591191958,2.174326466,26.2825,46.9775516,48.7942,2.3536,13.85811754,-1.358811216,0.023944652,15.50386653,301.8042009,0.006373468,0.073997719,9665.437573,0.991414736,-31.11229691,0.661087866,69.94883333,25,3.17,3,2,0.6749539368131973,-1.44508234725375,0.958480511681331,0.4271240314505034,-0.9444537037673097
J11BEPA15,1.223103898,0.3220026822490731,181.9354839,6515.643783,41.5,4.48,0.484567909,0.529411765,1.122226016,23.10789474,52.11251566,48.0097,3.0891,14.16067098,-0.752803044,0.031962697,50.06644908,978.9630724,0.004608051,0.146957987,2458.327218,0.995840144,-30.06918701,0.553974385,56.735,25,1.54,2.02,1.25,0.15104972276482842,-1.1609527804246984,0.9357732363905544,-0.16150373084790745,-0.383853282170879
J11BEPO11,0.012821981999999999,0.4220521842390026,128.9473684,1069.784403,28.2,3.81,0.532332454,0.526368159,0.891764706,12.41448276,51.63602022,49.67241821,3.3173,14.09329873,-3.205218935,0.019706561,38.35987793,736.3124051,0.003216945,0.108853957,4383.95696,0.977586084,-29.74619896,0.6140027118,44.4195,15,1.5,2.34,1,-0.47676558656819873,-1.402579650071428,0.19134030635979335,0.6859257889808327,0.05870949329794132
J11BEPO12,0.21379794199999996,1.384124562181323,108.4848485,3069.050836,14.36363636,4.64,0.54046706,0.592284733,0.926887822,10.98089286,53.85978892,51.41695267,2.8457,18.58994924,-0.574813867,0.013673912,72.00436784,1384.228269,0.003842745,0.118144581,8633.222818,0.979081811,-30.88110001,0.41607565,47.276,15,1.5,2.34,1,0.46339423627232845,-1.3488757140565293,0.9991259880787757,0.5189608922291101,-0.6467333375196908
J11COA5,1.546864852,0.4865214668749416,114,1395.91942,19,4.77,0.457069157,0.568141026,0.239320481,20.50904762,28.55882421,45.4262,2.7328,12.12922651,-2.547017632,0.025451634,72.4838593,1286.676386,0.003396777,0.151487941,8783.895374,0.904061827,-31.74354347,0.473537604,58.219,10,4,1.77,1.02,0.3027938211835387,-0.5916909059632166,1.6190307135310291,-0.3130849630510206,0.43716726014230767
J11COA6,0.8717042319999999,0.26285044226186965,132.5714286,3934.574913,21.83333333,6.14,0.539322083,0.600533333,0.389743661,27.53965517,28.71094973,44.5831,2.6785,13.72755983,-1.642497358,0.018202124,35.6573934,550.8337994,0.007237312,0.121430263,5652.919906,0.786757874,-31.50082573,0.670168067,51.2557,10,4,1.77,1.02,-0.24037010033765063,-0.7739294013736464,1.2674017241373987,0.03532638508931756,-0.10581133190251946
